tags,name,patrons,month_amount,total_amount
"MUZYKA,EDUKACJA,YOUTUBE",Rafał Piwowarczuk,27,760 zł,FALSE
"MUZYKA,SZTUKA",NOISE Magazine,70,2740 zł,62 tys. zł
"MUZYKA,SZTUKA,STREAMERZY",Wojciech Szymański - Dom o Zielonych Progach,9,310 zł,12 tys. zł
"MUZYKA,SZTUKA,YOUTUBE",Sylwia Banasik- Smulska,13,390 zł,15 tys. zł
"MUZYKA,LITERATURA,SZTUKA",MARIKA,43,1680 zł,40 tys. zł
"MUZYKA,SZTUKA,SPOŁECZNE",Potok Drugi Dom Ludzi Rocka,32,1450 zł,11 tys. zł
"MUZYKA,FILM,LITERATURA",Nowy Tygodnik Kulturalny,341,7090 zł,151 tys. zł
"MUZYKA,YOUTUBE,STREAMERZY",DJ Salis,18,380 zł,8435 zł
"MUZYKA,LITERATURA,BLOG",Maria Konopnicka,128,1505 zł,FALSE
"MUZYKA,SZTUKA,TEATR",Paulina Wróblewska,3,1056 zł,24 tys. zł
"MUZYKA,FILM",Karol Schwarz,4,300 zł,10 tys. zł
"MUZYKA,PODCAST",RADIO ROCKSERWIS FM,819,17871 zł,388 tys. zł
"MUZYKA,PODCAST",radiospacja,69,2190 zł,56 tys. zł
"MUZYKA,GRY,YOUTUBE,#KULTURAWSIECI",Rocker,8,860 zł,27 tys. zł
"MUZYKA,PUBLICYSTYKA",Jan Chojnacki,151,2600 zł,87 tys. zł
"MUZYKA,TEATR,YOUTUBE",Studio Accantus,1685,20815 zł,FALSE
"MUZYKA,PUBLICYSTYKA,SPOŁECZNE",Radio Nowy Świat,30771,620619 zł,17.83 mln zł
"MUZYKA,WYPRAWY,YOUTUBE",SOWINSKY,106,6172 zł,80 tys. zł
"MUZYKA,GRY,YOUTUBE",Bardbarian,20,390 zł,15 tys. zł
"MUZYKA,YOUTUBE",Kasia Staszewska,5,FALSE,FALSE
"MUZYKA,YOUTUBE,PODCAST",STEEPED,38,1567 zł,39 tys. zł
"MUZYKA,SZTUKA,PODCAST,#KULTURAWSIECI",RadioJAZZ.FM,40,720 zł,23 tys. zł
"MUZYKA,YOUTUBE,ROŚLINY",Health & Nature,35,620 zł,37 tys. zł
"MUZYKA,EDUKACJA,YOUTUBE",Leno Music,34,1570 zł,39 tys. zł
"MUZYKA,LITERATURA,YOUTUBE",Łukasz Mikuła,0,0 zł,0 zł
"MUZYKA,LITERATURA",Anastasiia Pugachova,0,0 zł,0 zł
"MUZYKA,SZTUKA,TEATR",Katarzyna Sambierska,1,20 zł,20 zł
MUZYKA,Nuty Pro,FALSE,FALSE,FALSE
"MUZYKA,INNE,BLOG",ASA,3,135 zł,135 zł
"MUZYKA,SZTUKA,SPOŁECZNE",Fundacja Światło i Sól,7,305 zł,305 zł
"MUZYKA,SZTUKA,YOUTUBE",Maja Laura,3,40 zł,40 zł
MUZYKA,Artis Symphony Orchestra,5,80 zł,80 zł
"MUZYKA,FILM,PODCAST",Samanta Kiełpińska,0,0 zł,0 zł
"MUZYKA,EDUKACJA,PODCAST",Przemysław Sumyk,11,370 zł,730 zł
"MUZYKA,LITERATURA,SZTUKA,#KULTURAWSIECI",Twórcze Rozmowy,2,50 zł,100 zł
"MUZYKA,LITERATURA,SZTUKA",galeriaBAZA,2,210 zł,210 zł
MUZYKA,Sqare,0,0 zł,0 zł
"MUZYKA,FILM,YOUTUBE",Sing a song,0,0 zł,0 zł
"MUZYKA,PUBLICYSTYKA",Muzykoholicy.com,1,10 zł,10 zł
"MUZYKA,PODCAST,STREAMERZY",dzietrupy,2,10 zł,15 zł
"MUZYKA,SZTUKA,YOUTUBE,#KULTURAWSIECI",Anna Jamrozek,2,40 zł,80 zł
"MUZYKA,TEATR,MALARSTWO",Maja Kowalczyk,3,55 zł,95 zł
"MUZYKA,EDUKACJA,SPOŁECZNE",Chór Otwarty,0,0 zł,0 zł
"MUZYKA,YOUTUBE",MICHALSKI,0,0 zł,0 zł
"MUZYKA,SZTUKA,EDUKACJA,#KULTURAWSIECI",Fundacja Błogosławionego Władysława z Gielniowa,2,50 zł,157 zł
MUZYKA,Kamila Pańka Pan!ka,0,0 zł,0 zł
MUZYKA,DSR Czarna Owca,1,10 zł,20 zł
"MUZYKA,EDUKACJA,YOUTUBE,#KULTURAWSIECI",Impro Akademia,0,0 zł,0 zł
"MUZYKA,GRY,YOUTUBE",kraptereq,0,0 zł,0 zł
"MUZYKA,SZTUKA,YOUTUBE",Zespół VOCALOVE,1,20 zł,60 zł
"MUZYKA,PODCAST",Drum&Bassova,0,0 zł,0 zł
"MUZYKA,LITERATURA,FOTOGRAFIA",Jarek Holden,6,108 zł,402 zł
"MUZYKA,FILM,SPOŁECZNE",Karo Glazer,1,25 zł,100 zł
"MUZYKA,SZTUKA,EDUKACJA",Muzyka Zakorzeniona,4,95 zł,190 zł
"MUZYKA,YOUTUBE",Arkadiusz Nowinski,0,0 zł,0 zł
"MUZYKA,INNE",tato.muzyka,0,0 zł,0 zł
"MUZYKA,SZTUKA,EDUKACJA",Fundacja Poszukiwań Artystycznych SZEPTEM,0,0 zł,0 zł
"MUZYKA,SPOŁECZNE",Fundacja Pogoda,0,0 zł,0 zł
